Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2010-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2010-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,8328
2010-06-01,0.000100,0.004500,0.000100,0.000100,0.000100,499694
2010-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,520
2010-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2010-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2010-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2010-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2010-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2011-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2012-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2013-12-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-01-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-02-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-03-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-04-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-05-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-06-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-07-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-08-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-09-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-10-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-11-01,0.000100,0.000100,0.000100,0.000100,0.000100,0
2014-12-01,0.000100,0.000100,0.000010,0.000010,0.000010,79000
2015-01-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2015-02-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2015-03-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2015-04-01,0.000010,0.000010,0.000010,0.000010,0.000010,2000
2015-05-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2015-06-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2015-07-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
2015-08-01,0.000010,0.000010,0.000010,0.000010,0.000010,0
