Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,14.210000,18.950001,13.550000,17.840000,17.840000,1924000
2013-08-01,18.000000,20.100000,16.000000,16.120001,16.120001,883300
2013-09-01,17.629999,19.549999,14.800000,18.860001,18.860001,2354000
2013-10-01,19.000000,19.299999,14.510000,15.670000,15.670000,1319800
2013-11-01,15.660000,15.800000,10.900000,11.930000,11.930000,1385600
2013-12-01,11.940000,14.580000,11.430000,13.740000,13.740000,1450500
2014-01-01,13.810000,16.990000,13.520000,15.260000,15.260000,1253000
2014-02-01,15.530000,16.250000,13.500000,15.550000,15.550000,663900
2014-03-01,15.510000,18.830000,14.030000,15.120000,15.120000,1699300
2014-04-01,15.100000,15.970000,12.750000,13.790000,13.790000,1012000
2014-05-01,13.740000,15.540000,12.760000,15.260000,15.260000,690400
2014-06-01,15.230000,15.950000,13.920000,15.840000,15.840000,460800
2014-07-01,15.800000,16.320000,13.900000,14.330000,14.330000,502800
2014-08-01,14.380000,16.500000,14.230000,15.590000,15.590000,441900
2014-09-01,15.600000,24.940001,15.000000,24.459999,24.459999,1601500
2014-10-01,24.230000,30.379999,18.000000,29.250000,29.250000,12202000
2014-11-01,29.480000,34.419998,24.930000,31.629999,31.629999,6230100
2014-12-01,31.320000,42.240002,29.780001,40.439999,40.439999,6062000
2015-01-01,41.500000,49.700001,41.000000,45.900002,45.900002,6714600
2015-02-01,45.900002,70.870003,43.099998,62.450001,62.450001,8819100
2015-03-01,62.290001,118.949997,58.799999,92.599998,92.599998,35980700
2015-04-01,96.989998,111.589996,93.489998,95.129997,95.129997,15957000
2015-05-01,96.809998,120.959999,95.779999,107.510002,107.510002,12982000
2015-06-01,108.050003,108.989998,72.050003,81.760002,81.760002,26060000
2015-07-01,82.800003,100.980003,57.970001,62.000000,62.000000,25469600
2015-08-01,62.500000,82.750000,47.730000,47.950001,47.950001,35742500
2015-09-01,46.000000,49.380001,18.070000,23.590000,23.590000,30394200
2015-10-01,23.100000,29.000000,21.139999,24.000000,24.000000,22988000
2015-11-01,24.000000,30.410000,24.000000,28.410000,28.410000,12066100
2015-12-01,28.629999,30.350000,21.700001,22.260000,22.260000,12793000
2016-01-01,21.820000,22.430000,12.610000,14.880000,14.880000,13880800
2016-02-01,14.790000,17.340000,13.280000,14.890000,14.890000,9541500
2016-03-01,15.200000,18.760000,13.820000,16.910000,16.910000,12244500
2016-04-01,16.690001,20.190001,16.129999,16.389999,16.389999,6344700
2016-05-01,16.510000,17.740000,13.500000,17.120001,17.120001,6804600
2016-06-01,17.030001,19.570000,9.580000,9.880000,9.880000,14893500
2016-07-01,10.150000,11.710000,9.750000,10.860000,10.860000,9384200
2016-08-01,10.870000,11.870000,10.290000,10.770000,10.770000,6232700
2016-09-01,10.790000,14.850000,10.570000,13.850000,13.850000,9543100
2016-10-01,13.700000,14.330000,10.220000,10.300000,10.300000,7057500
2016-11-01,10.280000,12.010000,9.400000,10.560000,10.560000,5692400
2016-12-01,10.830000,13.930000,10.300000,12.520000,12.520000,4115800
2017-01-01,12.800000,14.350000,10.710000,12.120000,12.120000,5034700
2017-02-01,12.240000,28.280001,12.110000,26.170000,26.170000,26011200
2017-03-01,26.860001,48.209999,20.389999,35.310001,35.310001,94366000
2017-04-01,35.590000,39.750000,34.299999,35.750000,35.750000,17808100
2017-05-01,35.750000,38.400002,30.950001,32.020000,32.020000,12850500
2017-06-01,31.500000,49.689999,31.500000,46.279999,46.279999,19629000
2017-07-01,46.369999,50.520000,45.080002,45.290001,45.290001,9732000
2017-08-01,45.500000,57.380001,43.060001,49.419998,49.419998,20727700
2017-09-01,50.070000,52.950001,47.900002,50.119999,50.119999,10656400
2017-10-01,50.230000,57.400002,42.549999,45.740002,45.740002,10948400
2017-11-01,46.139999,61.700001,43.099998,61.509998,61.509998,9939900
2017-12-01,61.450001,68.599998,52.169998,65.839996,65.839996,12473800
2018-01-01,66.169998,82.180000,64.459999,72.510002,72.510002,11917800
2018-02-01,71.970001,82.680000,61.200001,80.410004,80.410004,11538500
2018-03-01,79.650002,81.290001,69.199997,72.330002,72.330002,15968600
2018-04-01,72.019997,77.989998,65.529999,70.010002,70.010002,9828400
2018-05-01,69.099998,70.550003,33.060001,38.490002,38.490002,57303500
2018-06-01,38.430000,42.360001,36.439999,39.189999,39.189999,17067100
2018-07-01,39.029999,47.689999,39.000000,44.939999,44.939999,15303900
2018-08-01,45.000000,54.389999,43.650002,49.490002,49.490002,13872500
2018-09-01,49.560001,51.209999,40.130001,44.369999,44.369999,9724100
2018-10-01,44.349998,50.259998,36.060001,45.430000,45.430000,18411300
2018-11-01,46.000000,60.990002,43.750000,53.160000,53.160000,17200200
2018-12-01,55.000000,58.500000,38.080002,46.000000,46.000000,11228100
2019-01-01,45.180000,47.180000,39.290001,46.450001,46.450001,15615500
2019-02-01,46.389999,49.349998,42.860001,46.099998,46.099998,6947400
2019-03-01,45.810001,54.939999,39.299999,40.150002,40.150002,13727000
2019-04-01,40.500000,45.209999,39.029999,43.099998,43.099998,12643600
2019-05-01,43.049999,52.990002,41.509998,47.599998,47.599998,13884500
2019-06-01,47.619999,52.700001,45.599998,46.520000,46.520000,8960500
2019-07-01,46.730000,47.939999,39.610001,39.689999,39.689999,8763800
2019-08-01,39.740002,40.270000,35.500000,36.639999,36.639999,9884300
2019-09-01,36.639999,39.009998,33.130001,36.660000,36.660000,8736200
2019-10-01,36.950001,42.130001,35.240002,39.770000,39.770000,6578300
2019-11-01,40.110001,53.660000,35.560001,51.360001,51.360001,10872000
2019-12-01,51.619999,60.160000,46.650002,59.630001,59.630001,9914000
2020-01-01,60.340000,61.930000,47.950001,54.080002,54.080002,10352400
2020-02-01,54.130001,76.980003,47.099998,50.490002,50.490002,22278400
2020-03-01,51.439999,56.849998,24.820000,31.530001,31.530001,21878700
2020-04-01,31.000000,42.470001,29.110001,39.599998,39.599998,13876900
2020-05-01,38.860001,53.000000,36.520000,42.369999,42.369999,14775700
2020-06-01,42.389999,51.779999,40.320000,51.310001,51.310001,15220600
2020-07-01,51.689999,53.730000,37.209999,37.630001,37.630001,12428200
2020-08-01,38.090000,41.480000,30.540001,36.099998,36.099998,16082500
2020-09-01,35.799999,40.200001,34.060001,37.169998,37.169998,10077800
2020-10-01,37.380001,37.970001,29.660000,29.969999,29.969999,10834200
2020-11-01,30.049999,30.990000,23.900000,28.320000,28.320000,19091200
2020-12-01,28.809999,31.809999,25.549999,26.000000,26.000000,13064500
