Date,Open,High,Low,Close,Adj Close,Volume
2012-06-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2012-07-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2012-08-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2012-09-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2012-10-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2012-11-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2012-12-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2013-01-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2013-02-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2013-03-01,9.600000,9.600000,9.600000,9.600000,9.600000,0
2013-04-01,9.600000,9.600000,5.200000,5.440000,5.440000,624
2013-05-01,5.440000,5.440000,4.960000,4.960000,4.960000,250
2013-06-01,4.960000,5.280000,4.960000,5.280000,5.280000,500
2013-07-01,5.280000,5.440000,4.960000,4.960000,4.960000,625
2013-08-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2013-09-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2013-10-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2013-11-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2013-12-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-01-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-02-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-03-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-04-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-05-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-06-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-07-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-08-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-09-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-10-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-11-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2014-12-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-01-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-02-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-03-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-04-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-05-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-06-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-07-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-08-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-09-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-10-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-11-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2015-12-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-01-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-02-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-03-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-04-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-05-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-06-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-07-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-08-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-09-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-10-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-11-01,4.960000,4.960000,4.960000,4.960000,4.960000,0
2016-12-01,4.960000,5.100000,4.960000,5.100000,5.100000,125
2017-01-01,5.100000,5.100000,5.100000,5.100000,5.100000,0
2017-02-01,5.100000,5.200000,3.800000,3.800000,3.800000,625
2017-03-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-04-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-05-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-06-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-07-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-08-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-09-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-10-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-11-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2017-12-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-01-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-02-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-03-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-04-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-05-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-06-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-07-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-08-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-09-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-10-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-11-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2018-12-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-01-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-02-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-03-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-04-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-05-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-06-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-07-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-08-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-09-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-10-01,3.800000,3.800000,3.800000,3.800000,3.800000,0
2019-11-01,3.800000,3.800000,3.000000,3.000000,3.000000,200
2019-12-01,3.000000,3.000000,3.000000,3.000000,3.000000,0
2020-01-01,3.000000,4.000000,2.000000,4.000000,4.000000,300
2020-02-01,4.000000,4.000000,3.000000,3.000000,3.000000,100
2020-03-01,3.000000,5.000000,3.000000,5.000000,5.000000,200
2020-04-01,5.000000,6.000000,5.000000,6.000000,6.000000,100
2020-05-01,6.000000,6.000000,6.000000,6.000000,6.000000,0
2020-06-01,6.000000,6.000000,6.000000,6.000000,6.000000,0
2020-07-01,6.000000,8.000000,6.000000,8.000000,8.000000,200
2020-08-01,8.000000,8.000000,8.000000,8.000000,8.000000,0
2020-09-01,8.000000,10.250000,6.000000,10.250000,10.250000,500
2020-10-01,10.250000,13.250000,10.250000,13.250000,13.250000,900
2020-11-01,13.250000,13.250000,13.250000,13.250000,13.250000,0
2020-12-01,13.250000,13.250000,13.250000,13.250000,13.250000,0
2021-01-01,13.250000,13.250000,13.250000,13.250000,13.250000,0
2021-02-01,13.250000,15.000000,13.250000,15.000000,15.000000,100
2021-03-01,15.000000,15.000000,13.000000,13.000000,13.000000,200
2021-04-01,13.000000,13.000000,13.000000,13.000000,13.000000,100
2021-05-01,13.000000,13.000000,11.000000,11.000000,11.000000,100
2021-06-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2021-07-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2021-08-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2021-09-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2021-10-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2021-11-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2021-12-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-01-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-02-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-03-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-04-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-05-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-06-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-07-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-08-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
2022-09-01,11.000000,11.000000,11.000000,11.000000,11.000000,0
