Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,304.000000,306.980011,208.000000,236.539993,236.539993,164798200
2021-06-01,238.509995,261.149994,210.770004,253.300003,253.300003,93093900
2021-07-01,251.089996,256.989990,213.220001,236.580002,236.580002,72977600
2021-08-01,237.279999,294.000000,226.910004,259.000000,259.000000,103581300
2021-09-01,260.309998,280.609985,225.039993,227.479996,227.479996,69765100
2021-10-01,232.889999,328.480011,224.509995,319.420013,319.420013,130159000
2021-11-01,324.769989,368.899994,299.149994,315.000000,315.000000,116521400
2021-12-01,318.600006,323.000000,231.770004,252.369995,252.369995,90576100
2022-01-01,256.269989,261.630005,162.199997,190.149994,190.149994,111894600
2022-02-01,197.970001,217.490005,155.919998,190.770004,190.770004,94047500
2022-03-01,196.279999,206.789993,150.119995,189.860001,189.860001,98756200
2022-04-01,189.860001,193.070007,112.139999,112.709999,112.709999,86740500
2022-05-01,113.070000,132.809998,40.830002,78.099998,78.099998,412007500
2022-06-01,77.500000,77.800003,44.150002,47.020000,47.020000,289787500
2022-07-01,47.990002,79.000000,45.950001,62.959999,62.959999,293279100
2022-08-01,61.189999,116.300003,59.419998,66.800003,66.800003,347654800
2022-09-01,65.550003,84.580002,59.430000,64.489998,64.489998,224746900
2022-10-01,64.949997,78.290001,61.060001,66.250000,66.250000,233540400
2022-11-01,69.000000,69.709999,40.610001,45.730000,45.730000,425867200
2022-12-01,45.820000,49.849998,31.830000,35.389999,35.389999,233864100
2023-01-01,36.490002,62.290001,31.549999,58.480000,58.480000,348999400
2023-02-01,59.080002,87.629997,53.660000,64.830002,64.830002,431408600
2023-03-01,65.300003,85.379997,50.770000,67.570000,67.570000,484798800
2023-04-01,66.010002,72.610001,52.169998,53.790001,53.790001,276594100
2023-05-01,53.169998,63.750000,47.650002,62.200001,62.200001,266362500
2023-06-01,61.799999,74.970001,46.430000,71.550003,71.550003,391962400
2023-07-01,73.199997,114.430000,73.010002,98.610001,98.610001,360047000
2023-08-01,95.879997,95.949997,72.099998,79.599998,79.599998,205685900
2023-09-01,80.000000,86.360001,69.629997,75.080002,75.080002,129086400
2023-10-01,78.550003,82.070000,70.410004,73.430000,73.430000,66529200
