Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,211.940002,213.339996,205.279999,205.850006,176.659424,2535242600
2015-07-01,207.729996,213.179993,204.110001,210.500000,181.528763,2452758000
2015-08-01,210.460007,211.309998,182.399994,197.669998,170.464569,3734926900
2015-09-01,193.119995,202.889999,186.929993,191.630005,165.255844,3279512900
2015-10-01,192.080002,209.440002,189.119995,207.929993,180.244690,2536184400
2015-11-01,208.320007,211.660004,202.179993,208.690002,180.903488,1924512800
2015-12-01,209.440002,211.000000,199.830002,203.869995,176.725281,2924882300
2016-01-01,200.490005,201.899994,181.020004,193.720001,168.926132,3712950900
2016-02-01,192.529999,196.679993,181.089996,193.559998,168.786606,2920730800
2016-03-01,195.009995,206.869995,194.449997,205.520004,179.215866,2323306500
2016-04-01,204.350006,210.919998,203.089996,206.330002,180.850128,1910635600
2016-05-01,206.919998,210.690002,202.779999,209.839996,183.926697,1828530900
2016-06-01,209.119995,212.520004,198.649994,209.479996,183.611145,2612406900
2016-07-01,209.479996,217.539993,207.059998,217.119995,191.297333,1648453700
2016-08-01,217.190002,219.600006,214.250000,217.380005,191.526398,1519703200
2016-09-01,217.369995,219.220001,212.309998,216.300003,190.574890,2292393000
2016-10-01,215.820007,216.699997,211.210007,212.550003,188.216858,1725687400
2016-11-01,212.929993,221.820007,208.380005,220.380005,195.150482,2073824400
2016-12-01,220.729996,228.339996,219.149994,223.529999,197.939835,1821910200
2017-01-01,225.039993,229.710007,223.880005,227.529999,202.669449,1482408500
2017-02-01,227.529999,237.309998,226.820007,236.470001,210.632675,1365136600
2017-03-01,238.389999,240.320007,231.610001,235.740005,209.982422,1921474100
2017-04-01,235.800003,239.529999,232.509995,238.080002,212.989334,1549613700
2017-05-01,238.679993,242.080002,235.429993,241.440002,215.995209,1492547000
2017-06-01,241.970001,245.009995,239.960007,241.800003,216.317291,1572753000
2017-07-01,242.880005,248.000000,240.339996,246.770004,221.840103,1055908800
2017-08-01,247.460007,248.910004,241.830002,247.490005,222.487366,1557031500
2017-09-01,247.919998,251.320007,244.949997,251.229996,225.849533,1286405100
2017-10-01,251.490005,257.890015,251.289993,257.149994,232.318680,1320624600
2017-11-01,258.040009,266.049988,255.630005,265.010010,239.419754,1365620900
2017-12-01,264.760010,268.600006,260.760010,266.859985,241.091064,1715222900
2018-01-01,267.839996,286.630005,267.399994,281.899994,255.980576,1985506700
2018-02-01,281.070007,283.059998,252.919998,271.649994,246.673035,2923722000
2018-03-01,271.410004,280.410004,257.829987,263.149994,238.954544,2323561800
2018-04-01,262.549988,271.299988,254.669998,264.510010,241.151505,1998466500
2018-05-01,263.869995,274.250000,259.049988,270.940002,247.013611,1606397200
2018-06-01,272.410004,279.480011,268.489990,271.279999,247.323547,1599001000
2018-07-01,269.510010,284.369995,269.239990,281.329987,257.637726,1266892500
2018-08-01,281.559998,291.739990,279.160004,290.309998,265.861511,1308443700
2018-09-01,289.839996,293.940002,286.709991,290.720001,266.237061,1228103300
2018-10-01,292.109985,293.209991,259.850006,270.630005,248.960846,3024345800
2018-11-01,271.600006,281.220001,263.070007,275.649994,253.578873,2021061200
2018-12-01,280.279999,280.399994,233.759995,249.919998,229.909088,3102780500
2019-01-01,245.979996,270.470001,243.669998,269.929993,249.766983,2048691700
2019-02-01,270.149994,281.309998,267.829987,278.679993,257.863373,1371716300
2019-03-01,280.440002,285.179993,272.420013,282.480011,261.379547,1678081300
2019-04-01,284.700012,294.450012,284.399994,294.019989,273.255890,1209204700
2019-05-01,294.720001,294.950012,275.239990,275.269989,255.830002,1845593200
2019-06-01,275.309998,296.309998,273.089996,293.000000,272.307800,1340435600
2019-07-01,296.679993,302.230011,294.329987,297.429993,277.769470,1110102300
2019-08-01,297.600006,300.869995,281.720001,292.450012,273.118683,2034004800
2019-09-01,290.570007,302.630005,289.269989,296.769989,277.153107,1303830000
2019-10-01,297.739990,304.549988,284.820007,303.329987,284.587616,1386748300
2019-11-01,304.920013,315.480011,304.739990,314.309998,294.889221,1037123500
2019-12-01,314.589996,323.799988,307.130005,321.859985,301.972717,1285175800
2020-01-01,323.540009,332.950012,320.359985,321.730011,303.334747,1392003800
2020-02-01,323.350006,339.079987,285.540009,296.260010,279.321075,2110214900
2020-03-01,298.209991,313.839996,218.259995,257.750000,243.012939,5926017600
2020-04-01,247.979996,294.880005,243.899994,290.480011,275.481995,2819312300
2020-05-01,285.309998,306.839996,272.989990,304.320007,288.607452,1910460500
2020-06-01,303.619995,323.410004,296.739990,308.359985,292.438751,2358674500
2020-07-01,309.570007,327.230011,309.070007,326.519989,311.023865,1505145300
2020-08-01,328.320007,351.299988,327.730011,349.309998,332.732269,1045563300
2020-09-01,350.209991,358.750000,319.799988,334.890015,318.996674,1814712700
2020-10-01,337.690002,354.019989,322.600006,326.540009,312.288025,1629016100
2020-11-01,330.200012,364.380005,327.239990,362.059998,346.257660,1535244300
2020-12-01,365.570007,378.459991,362.029999,373.880005,357.561829,1344541500
2021-01-01,375.309998,385.850006,364.820007,370.070007,355.426758,1402265400
2021-02-01,373.720001,394.170013,370.380005,380.359985,365.309570,1307806200
2021-03-01,385.589996,398.119995,371.880005,396.329987,380.647614,2401715800
2021-04-01,398.399994,420.720001,398.179993,417.299988,402.100586,1462106600
2021-05-01,419.429993,422.820007,404.000000,420.040009,404.740784,1547235900
2021-06-01,422.570007,428.779999,414.700012,428.059998,412.468689,1282152400
2021-07-01,428.869995,441.799988,421.970001,438.510010,423.920441,1422104700
2021-08-01,440.339996,453.070007,436.100006,451.559998,436.536194,1254001400
2021-09-01,452.559998,454.049988,428.779999,429.140015,414.862213,1745559600
2021-10-01,430.980011,459.559998,426.359985,459.250000,445.392731,1508665200
2021-11-01,460.299988,473.540009,455.299988,455.559998,441.814056,1335351500
2021-12-01,461.640015,479.000000,448.920013,474.959991,460.628693,1927433900
2022-01-01,476.299988,479.980011,420.760010,449.910004,437.867493,2485167800
2022-02-01,450.679993,458.119995,410.640015,436.630005,424.942963,2297975100
2022-03-01,435.040009,462.070007,415.119995,451.640015,439.551178,2380929500
2022-04-01,453.309998,457.829987,411.209991,412.000000,402.217865,1856757400
2022-05-01,412.070007,429.660004,380.540009,412.929993,403.125793,2418478100
2022-06-01,415.170013,417.440002,362.170013,377.250000,368.292938,1958611900
2022-07-01,376.559998,413.029999,371.040009,411.989990,403.945526,1437748400
2022-08-01,409.149994,431.730011,395.040009,395.179993,387.463745,1443394400
2022-09-01,392.890015,411.730011,357.040009,357.179993,350.205719,1998908600
2022-10-01,361.079987,389.519989,348.109985,386.209991,380.224426,2024732000
2022-11-01,390.140015,407.679993,368.790009,407.679993,401.361664,1745985300
2022-12-01,408.769989,410.489990,374.769989,382.429993,376.502991,1735973600
2023-01-01,384.369995,408.160004,377.829987,406.480011,402.017914,1575450100
2023-02-01,405.209991,418.309998,393.640015,396.260010,391.910095,1603094700
2023-03-01,395.410004,409.700012,380.649994,409.390015,404.895966,2515995800
2023-04-01,408.850006,415.940002,403.779999,415.929993,412.934113,1395683000
2023-05-01,415.470001,422.579987,403.739990,417.850006,414.840332,1780705600
2023-06-01,418.089996,444.299988,416.790009,443.279999,440.087158,1749755000
2023-07-01,442.920013,459.440002,437.059998,457.790009,456.180908,1374632400
2023-08-01,456.269989,457.250000,433.010010,450.350006,448.767059,1754764700
2023-09-01,453.170013,453.670013,422.290009,427.480011,425.977448,1588673200
2023-10-01,426.619995,437.339996,420.179993,431.500000,431.500000,856088300
